"","WM115","WM1205Lu","WM266-4","WM793"
"P08865",567.10097342405,624.282034295791,514.89037959549,702.249783595374
"P09211",1016.70682725299,1148.85141537059,1025.5397864986,1152.9745698802
"P09382",818.2475,1027.78219296573,1073.90930317619,1001.69166666667
"P09525",1747.56507350004,1347.97733402663,1124.20532022885,1113.6424254404
"P09543",1132.50505951039,1109.79028946293,1438.89632448649,1377.57939107781
"P09972",718.371314304095,582.314901231689,698.80574803689,517.11435340994
"P0CW22",545.819615384616,552.589473684211,293.933636363637,493.17
"P10155",307.971614034969,117.369404882994,164.296604341486,274.027977856575
"P10301",172.13,372.065599113086,134.568333333333,317.31
"P10644",256.799369790068,150.849102870808,289.51648800308,126.74701399329
"P10768",373.130555555555,306.9575,503.715263157894,272.778571428571
"P10809",1734.9572304941,2499.89828607841,1092.08082701885,3207.53928068771
"P11021",1847.64310258756,3963.81429722227,2228.27525583825,3054.41513080113
"P11047",250.948021842739,446.900663283155,152.538238829907,772.918625150259
"P11142",5069.14026705534,4241.80167164537,5073.42354636031,3785.8934316453
"P11166",406.88782609482,410.538746344916,235.023885283299,454.563149406774
"P11216",1998.17854815971,3272.21392531354,1137.34466045675,2772.81191007812
"P11233",433.925420307225,587.32402182546,409.961268504652,526.557456772108
"P11234",470.744103992382,605.280714832568,474.486994862335,531.807661613967
"P11279",172.85571498923,61.685,106.225,74.94
"P11413",725.90238343724,537.941365686259,718.710290451485,625.567094223089
"P11586",1245.70752652224,852.762824825664,1859.48805878807,848.636918074964
"P11717",288.377544444157,170.088968673273,86.8183333333335,711.073361913455
"P11766",265.971666666666,371.047238256201,289.966388888889,419.966861112076
"P11940",652.630142125619,884.263214979606,474.434671881857,779.562933958879
"P12004",486.13,474.230039282001,778.008095593244,611.809769600274
"P12081",65.415,184.551884494349,79.0219437891424,198.649475774943
"P12236",181.040287505801,326.966501606358,140.882544441034,605.240982995661
"P12268",1114.82219225216,880.801091073577,1473.86517182833,886.272283738133
"P12814",5325.6418371409,4988.58311226908,5487.05394850424,4839.80044416606
"P12955",442.650457225242,109.676514981121,621.06225833443,126.452131949248
"P12956",510.814348854273,647.605937162341,303.729638270888,897.520328588259
"P13010",385.831428571428,455.232384749721,263.225818704931,581.829548039032
"P13473",171.641283642679,136.584384619237,112.150277118755,195.251823175376
"P13489",626.7925,1013.0178401731,1136.99845559467,746.300815832947
"P13612",325.586108232233,1273.05103129733,381.495986951683,996.978179306418
"P13639",3961.60777111268,3997.30063243817,3977.32145324343,4234.56587829892
"P13645",3469.274847667,3776.35571339091,4705.18579133119,5360.15603263822
"P13667",920.371731159895,1938.38023795115,1007.02708889882,2888.48097124777
"P13674",83.31,53.405,136.113333333334,273.251428571429
"P13693",540.985666814187,440.34552502336,329.708288581373,430.785106140964
"P13797",1215.49172600842,741.208519641661,1570.13150779228,670.643173905794
"P13798",403.532776831868,122.023333333333,439.905612935396,192.511137706014
"P13861",245.573310066307,102.696925055256,247.44951149679,191.084828353411
"P13987",189.235849476087,323.042155945598,207.95910051987,243.091640948638
"P14174",101.745898657487,78.0300828820389,72.4450528443602,60.5337268003945
"P14324",134.196212863724,42.475,36.47,80.39
"P14618",10076.2648082445,6070.21815624174,10107.383028564,5672.30155262437
"P14625",1421.76902549795,2426.53871448446,919.839181833032,2759.52732164874
"P14866",234.55,355.270322852709,133.605,623.846055471016
"P14868",789.583702041849,330.490035013197,324.612041430608,451.898106047977
"P14923",286.344454783945,96.7715474032067,230.644747536982,227.236792363713
"P15121",227.62,200.904154384544,254.419986731278,364.218645576353
"P15151",144.82,293.81044366809,48.5333333333333,117.22
"P15170",297.443571428571,149.891666666667,135.128346573429,206.237305857922
"P15311",2241.51115901045,2471.71136943325,2929.70833762553,1920.33609896147
"P15531",890.078950892169,505.178476475949,626.440399915462,600.517620507801
"P15559",1130.52906727148,639.638890073895,931.371695002785,1257.4727051463
"P15880",560.279769906268,523.557831755455,400.898972991844,579.581363470816
"P16070",1005.13373920188,1491.0515116867,916.158834732661,732.759966181794
"P16152",743.412369808981,451.713521894644,773.225922881385,336.344483968303
"P16615",530.311683717242,664.011808238248,324.086025477202,1215.9671645894
"P17174",236.961666666666,207.898635150664,386.998546165304,119.175
"P17301",836.770335292938,2702.85434878395,903.696350766396,304.831102442523
"P17655",995.583501509172,1024.9560669545,841.408039320156,882.338519662226
"P17812",388.450305757967,226.844961312361,203.748161886773,278.802814135026
"P17813",142.951666666666,346.098858417686,165.5456074593,519.389238246036
"P17858",656.351079066996,344.59329974984,525.936458276941,340.058409090909
"P17980",327.805472178565,290.391442552295,303.228162479581,375.941604364849
"P17987",1748.24572918138,1744.37898660287,1616.57271129481,1805.68781312601
"P18084",243.386666666667,519.37679991243,82.635,210.630047634217
"P18085",538.098618955545,481.481937504804,339.774008456245,604.294231606999
"P18124",276.899212297481,513.831831107353,361.109219231541,403.212452875641
"P18206",887.891194018491,1502.33267803449,847.481639982313,669.088024486851
"P18433",124.958333333333,111.63,106.448333333333,75.22
"P18621",277.63,299.728340405372,148.422380952381,275.795940872575
"P18669",879.38556257709,835.328337119391,1029.77781157057,874.13683692738
"P19022",510.561818181818,308.063888888889,326.399807692307,605.854659657851
"P19256",111.245,115.410680409956,99.99,62.23
"P19338",650.41962234646,953.796812162549,605.30245408056,994.04342414035
"P19623",220.9,78.5716666666665,134.3,217.267481384786
"P20020",1580.62860852413,901.13991765318,2086.70002402848,1016.63315386178
"P20042",224.798739580136,160.49331432288,122.585786649323,108.388333333333
"P20073",206.52,212.733264263878,234.199518299337,103.990593280073
"P20618",338.14,77.695,298.605,211.5
"P21266",447.037436735464,252.411805119788,249.779278659805,517.498559116449
"P21281",819.038063256258,264.586150875096,806.570165901808,399.246315379111
"P21291",215.384888869004,468.945108746852,278.043122988056,161.283333333334
"P21333",5860.57940704792,6191.94052404956,5489.03520566739,5840.20223275396
"P21359",421.70834487331,173.196056880367,246.153612610436,115.012060537301
"P21589",1965.86578213914,2612.59596926163,944.98689853667,2342.0957497428
"P21796",254.393487003145,845.534571009633,164.47245114404,1003.57772466894
"P21926",202.037142857143,361.142772319933,217.252142857143,288.795635002484
"P21980",247.395451817062,1070.09460839306,36.905,310.044996491436
"P22061",349.466892213951,239.637715822765,420.120491574106,208.363333333334
"P22102",919.980666133572,621.990797032065,1173.5812125826,547.719891041026
"P22234",751.098806224898,670.556213800099,822.605806708283,757.551011756045
"P22314",2599.9723289847,2321.15153050594,2899.8385460357,2980.13725706412
"P22392",795.550582522869,550.497094718989,726.169144732514,721.66501694468
"P22626",722.423031280435,1059.10810057783,446.432225566424,888.237120659973
"P23229",88.22,1133.39467918431,582.992508243786,473.760087949552
"P23246",212.065,230.187640052032,131.45,283.055888660896
"P23284",549.080710962086,385.55484653271,457.473250478087,541.272063547573
