,WM115,WM266-4,WM793,WM1205Lu
AGBL5-AS1,0,18,0,1
AGBL5-IT1,12,6,3,2
AGER,401,156,568,78
AGFG1,5916,2248,32503,3617
AGFG2,755,668,1255,902
AGGF1,4232,1062,6740,1602
AGGF1P1,16,12,55,9
AGGF1P2,1,12,20,17
AGGF1P3,20,0,17,5
AGGF1P4,0,0,0,0
AGK,4294,2086,13815,1427
AGKP1,0,0,0,2
AGL,1141,573,1696,211
AGMAT,6,61,125,5
AGMO,3187,1008,238,1
AGO1,3275,1769,6400,1483
AGO2,5440,2259,64900,3505
AGO3,1999,935,18273,525
AGO4,1052,1016,10045,362
AGPAT1,8123,1427,25099,3142
AGPAT2,2221,761,12506,1677
AGPAT3,4590,2028,23397,2542
AGPAT4,1234,116,6856,361
AGPAT4-IT1,64,1,565,14
AGPAT5,4001,1281,45889,2269
AGPAT5P1,0,0,0,0
AGPS,1880,3086,7226,3811
AGR2,21,22,0,24
AGR3,1,1,0,0
AGRN,3586,1713,98315,8710
AGRP,0,0,1,1
AGT,3,143,0,7
AGTPBP1,1389,436,4119,346
AGTR1,4,0,2,0
AGTR2,0,0,0,0
AGTRAP,922,393,5444,447
AGXT,11,0,30,1
AGXT2,0,0,0,0
AHCTF1,7233,2051,36952,3166
AHCY,5791,4932,35206,5127
AHCYL1,18318,4360,37531,3944
AHCYL2,2136,2232,8284,447
AHCYP2,0,0,4,0
AHCYP3,0,0,0,0
AHCYP4,0,0,0,0
AHCYP5,0,0,0,0
AHCYP7,0,0,2,0
AHCYP8,0,0,0,0
AHDC1,1910,262,8880,742
AHI1,3158,950,24796,595
AHNAK,156929,17532,173855,43361
AHNAK2,5496,1489,7759,4217
AHR,20200,3839,97113,798
AHRR,22671,1789,33991,1691
AHSA1,4753,1650,24346,2860
AHSA2P,4401,3063,10944,1172
AHSG,2,0,1,1
AHSP,0,0,0,0
AICDA,1,1,61,0
AIDA,8425,3657,27434,3446
AIF1,0,0,1,1
AIF1L,220,725,3538,124
AIFM1,3000,2131,4242,1108
AIFM1P1,0,0,0,0
AIFM2,1105,1248,7826,712
AIFM3,3,17,301,5
AIG1,976,30,1699,245
AIG1P1,0,0,0,0
AIM2,1354,36,20,22
AIMP1,4321,1141,25050,1235
AIMP1P1,1,0,0,0
AIMP1P2,0,0,1,0
AIMP2,2071,918,18666,1604
AIP,2668,1474,10641,1160
AIPL1,3,2,38,0
AIRE,3,13,1,1
AIRN,4,0,0,2
AJAP1,0,1,879,1
AJM1,203,139,2660,204
AJUBA,1601,125,28412,398
AK1,494,165,4057,251
AK2,7535,5328,27430,3222
AK2P2,0,0,10,0
AK3,2333,1344,11167,1285
AK3P2,0,0,2,0
AK3P3,45,12,579,16
AK3P4,0,9,0,1
AK3P5,0,0,0,1
AK4,447,2466,3981,1471
AK4P1,12,7,63,21
AK4P2,0,0,0,0
AK4P3,0,0,5,1
AK4P4,0,0,5,0
AK4P5,5,8,0,0
AK4P6,0,0,0,0
AK5,745,306,840,374
AK6,1942,577,9553,582
AK7,16,13,117,0
AK8,30,7,78,6
AK9,126,131,1906,48
AKAIN1,0,0,0,0
AKAP1,2278,1254,3306,1540
AKAP10,2596,921,9329,867
AKAP11,4966,2514,18418,2976
AKAP12,4535,12696,114172,12791
AKAP13,4520,1116,10295,1765
AKAP14,0,3,2,0
AKAP17A,1249,580,20762,1525
AKAP17BP,8,1,0,0
AKAP2,55,24,28,37
AKAP3,41,43,52,53
AKAP4,0,0,0,0
AKAP5,88,59,151,53
AKAP6,4203,575,269,53
AKAP7,353,363,864,175
AKAP8,2979,958,7255,1052
AKAP8L,2873,720,23203,777
AKAP8P1,0,0,0,0
AKAP9,7231,3638,69780,3091
AKIP1,1650,595,3001,983
AKIRIN1,6337,2128,26519,2194
AKIRIN1P1,0,0,0,0
AKIRIN1P2,0,0,0,0
AKIRIN2,1932,494,25096,1873
AKIRIN2P1,0,0,0,0
AKNA,195,199,7715,57
AKNAD1,131,30,121,25
AKR1A1,1072,743,8604,718
AKR1B1,5065,2744,10697,2793
AKR1B10,53,27,82,3
AKR1B10P1,0,0,0,0
AKR1B10P2,0,0,0,0
AKR1B15,9,0,110,0
AKR1B1P1,12,0,21,0
AKR1B1P2,0,0,0,0
AKR1B1P4,0,0,0,0
AKR1B1P6,0,0,0,0
AKR1B1P7,0,0,0,0
AKR1B1P8,0,0,0,0
AKR1C1,79,96,102,4
AKR1C2,27,69,16,2
AKR1C3,635,258,348,0
AKR1C4,4,0,0,0
AKR1C5P,2,0,2,0
AKR1C6P,4,6,0,3
AKR1C7P,12,2,17,0
AKR1C8P,4,0,10,0
AKR1D1,0,9,2,1
AKR1D1P1,0,0,0,0
AKR1E2,216,235,280,135
AKR7A2,1680,1309,2790,1273
AKR7A2P1,13,0,0,3
AKR7A3,39,35,86,3
AKR7L,26,10,83,5
AKT1,10458,4291,34445,3866
AKT1S1,3265,1044,36940,2599
AKT2,5987,2691,26377,2569
AKT3,9940,4745,43925,2491
AKT3-IT1,10,3,120,0
AKTIP,736,269,1635,289
ALAD,3184,729,2017,1012
ALAS1,3762,1225,12134,1012
ALAS2,1,0,0,1
ALB,3,2,142,0
ALCAM,45848,569,19493,454
ALDH16A1,1493,765,1302,544
ALDH18A1,3695,2542,21055,1999
ALDH1A1,70,429,177,1
ALDH1A2,110,8,796,3
ALDH1A3,25083,27388,348529,7377
ALDH1B1,1465,694,6432,1282
ALDH1L1,38,0,101,2
ALDH1L1-AS1,0,0,8,1
ALDH1L1-AS2,3,0,0,0
ALDH1L2,261,53,11626,681
ALDH2,67,21,612,3
ALDH3A1,4,11,5,3
ALDH3A2,3285,1105,5939,1749
ALDH3B1,1002,238,3393,244
ALDH3B2,0,60,0,2
ALDH4A1,452,534,722,170
ALDH5A1,348,17,190,137
ALDH6A1,1065,635,1980,211
ALDH7A1,5230,2617,344,845
ALDH7A1P1,0,0,1,0
ALDH7A1P2,0,0,0,0
ALDH7A1P3,0,0,0,0
ALDH7A1P4,0,0,0,0
ALDH8A1,16,0,70,2
ALDH9A1,2985,2326,15386,906
ALDOA,46765,16663,205434,28032
ALDOAP1,0,0,0,0
ALDOAP2,0,0,0,0
ALDOB,13,5,7,3
ALDOC,179,34,232,38
ALG1,1822,505,3963,756
ALG10,346,75,953,128
ALG10B,1923,606,3060,211
ALG11,1140,471,6377,423
ALG12,938,312,7080,439
ALG13,2423,794,5696,619
ALG13-AS1,29,1,2,2
ALG14,489,118,3295,138
ALG1L,12,0,35,2
ALG1L10P,1,0,0,4
ALG1L11P,1,0,1,3
ALG1L12P,1,0,0,7
ALG1L13P,36,4,19,9
ALG1L14P,0,0,0,0
ALG1L15P,4,0,10,0
ALG1L2,14,19,43,16
ALG1L3P,0,0,0,0
