,WM115,WM266-4,WM793,WM1205Lu
SPDYE14P,0,0,0,0
SPDYE15P,4,0,4,0
SPDYE16,2,0,1,1
SPDYE17,0,9,0,1
SPDYE18,9,4,6,7
SPDYE19P,13,5,3,8
SPDYE2,110,18,6,48
SPDYE20P,0,0,1,1
SPDYE21P,10,3,5,10
SPDYE22P,0,0,0,2
SPDYE2B,48,0,6,10
SPDYE3,707,266,39,207
SPDYE4,0,0,0,0
SPDYE5,255,64,75,26
SPDYE6,109,19,11,64
SPDYE7P,5,3,8,0
SPDYE8P,0,0,0,0
SPDYE9P,2,0,3,1
SPECC1,1609,875,3000,1094
SPECC1L,1893,575,4516,980
SPECC1L-ADORA2A,5,0,36,2
SPEF1,13,0,117,4
SPEF2,5,16,188,1
SPEG,565,34,7290,1379
SPEM1,2,0,40,2
SPEM2,0,0,46,0
SPEN,7874,2455,33639,3065
SPERT,0,0,0,0
SPESP1,1744,809,3,1
SPG11,3825,1715,23553,1125
SPG21,4494,1647,12468,1336
SPG7,4702,1593,15856,1734
SPHAR,0,0,0,0
SPHK1,1225,832,12395,714
SPHK2,1452,399,5595,688
SPHKAP,7,0,2,0
SPI1,2,1,23,0
SPIB,3,5,39,1
SPIC,0,0,0,0
SPICE1,1192,551,2354,317
SPIDR,1592,873,2997,1535
SPIN1,5863,1291,16769,2277
SPIN2A,54,5,86,1
SPIN2B,269,93,402,56
SPIN3,281,130,899,231
SPIN4,746,484,928,303
SPIN4-AS1,7,0,0,0
SPINDOC,2076,588,8550,1284
SPINK1,4,2,1,0
SPINK13,3,1,1,0
SPINK14,0,0,0,0
SPINK2,0,0,6,0
SPINK4,0,0,2,0
SPINK5,39,1,0,0
SPINK6,0,0,1,0
SPINK7,4,0,0,0
SPINK8,3,0,0,0
SPINK9,42,4,101,0
SPINT1,126,28,497,12
SPINT2,28,72,65,21
SPINT3,0,0,0,0
SPINT4,0,0,0,0
SPINT5P,0,0,0,0
SPIRE1,1226,855,13766,507
SPIRE2,541,568,2215,379
SPN,19,34,86,0
SPNS1,343,129,2282,117
SPNS2,27,38,11,35
SPNS3,0,1,0,0
SPO11,0,0,0,0
SPOCD1,1009,26,8618,403
SPOCK1,2478,11,6228,8073
SPOCK2,40,1,197,20
SPOCK3,0,0,8,0
SPON1,37,5,2,13
SPON2,29,800,511,226
SPOP,3222,1130,5284,1288
SPOPL,1640,962,9249,958
SPOUT1,2479,1079,10752,1058
SPP1,51304,26154,22,13
SPP2,9,0,67,0
SPPL2A,4950,1210,16714,1434
SPPL2B,3370,1568,6568,998
SPPL2C,0,0,1,0
SPPL3,3116,1213,11905,822
SPR,918,509,3854,1108
SPRED1,16511,4678,25763,3137
SPRED2,7175,2575,22440,4024
SPRED3,883,22,11696,855
SPRN,121,73,90,75
SPRR1A,0,0,0,0
SPRR1B,0,0,0,0
SPRR2A,1,0,129,0
SPRR2B,0,0,6,0
SPRR2C,0,0,308,0
SPRR2D,44,0,8463,1
SPRR2E,3,0,11,0
SPRR2F,0,0,80,0
SPRR2G,0,0,0,0
SPRR3,0,0,0,0
SPRR4,0,0,0,0
SPRTN,1935,729,3167,396
SPRY1,170,742,930,40
SPRY2,10828,6332,59626,1981
SPRY3,576,21,464,45
SPRY4,85664,15161,102946,18894
SPRYD3,1946,352,9388,512
SPRYD4,938,324,2245,262
SPRYD7,911,512,2769,632
SPSB1,953,1709,5283,414
SPSB2,387,93,1193,175
SPSB3,71,9,4658,38
SPSB4,2,0,3,13
SPTA1,4,0,0,0
SPTAN1,21811,8419,68348,10655
SPTB,27,14,375,83
SPTBN1,78972,22113,40579,22765
SPTBN2,501,501,23226,108
SPTBN4,11,1,136,13
SPTBN5,2636,75,7648,71
SPTLC1,4724,913,15229,1812
SPTLC1P1,0,3,21,1
SPTLC1P2,0,0,0,0
SPTLC1P3,0,0,0,0
SPTLC1P4,0,0,2,0
SPTLC1P5,0,0,0,0
SPTLC2,2480,1981,7706,1620
SPTLC3,32,0,161,2
SPTSSA,6045,1982,4757,2369
SPTSSB,0,1,4,12
SPTY2D1,2692,834,17217,1428
SPTY2D1OS,119,60,216,23
SPX,7,33,2465,18
SPZ1,0,0,0,0
SQLE,6284,1912,5792,1079
SQOR,320,731,979,164
SQSTM1,22025,5486,131467,10211
SQSTM1P1,0,0,0,0
SRA1,2762,535,24668,1274
SRARP,0,0,7,0
SRBD1,1595,699,3008,796
SRC,2691,1069,23135,929
SRCAP,8337,2363,30474,343
SRCIN1,935,230,4943,251
SRD5A1,1960,748,2129,1558
SRD5A1P1,0,0,0,1
SRD5A2,0,19,22,0
SRD5A3,1884,634,1571,574
SRD5A3-AS1,105,15,64,14
SRD5A3P1,0,0,0,0
SREBF1,5133,4347,16978,4080
SREBF2,9801,6531,35830,2454
SREK1,8391,3440,24721,3013
SREK1IP1,1968,699,12103,827
SRF,2714,896,22564,1328
SRFBP1,1318,423,7297,355
SRGAP1,1221,1761,24889,831
SRGAP2,15529,2569,34557,3158
SRGAP2-AS1,45,5,0,2
SRGAP2B,2873,590,6560,322
SRGAP2C,6930,1065,3784,778
SRGAP2D,104,13,383,239
SRGAP3,106,9,633,116
SRGAP3-AS1,0,0,0,0
SRGAP3-AS2,0,0,0,0
SRGAP3-AS3,0,0,0,0
SRGAP3-AS4,0,0,0,0
SRGN,160,255,1719,4
SRGNP1,2,0,0,0
SRI,8461,2760,14267,3404
SRIP1,0,0,0,0
SRIP2,0,0,0,0
SRIP3,0,0,0,0
SRL,1,0,18,0
SRM,3883,1733,11679,3675
SRMP1,0,0,0,0
SRMP2,7,0,0,0
SRMS,3,10,35,4
SRP14,13274,4835,29658,3943
SRP14-AS1,162,131,1893,38
SRP19,2068,612,4976,587
SRP54,5676,2316,26285,1964
SRP54-AS1,61,5,136,11
SRP68,6164,2304,22335,4750
SRP68P1,5,0,1,0
SRP68P2,10,0,0,0
SRP68P3,13,0,3,0
SRP72,8787,2893,33610,3790
SRP72P1,0,0,0,0
SRP72P2,5,0,0,1
SRP9,23691,8122,49556,4625
SRP9P1,16,95,126,13
SRPK1,4845,1193,12368,2018
SRPK2,6187,2724,21616,2933
SRPK2P,41,0,0,3
SRPK3,442,148,73,45
SRPRA,15370,4893,110471,6133
SRPRB,4327,1767,12700,2731
SRPX,11347,10470,9206,13174
SRPX2,1210,158,347,483
SRR,719,494,510,306
SRRD,1359,706,5737,450
SRRM1,6902,2460,38912,3453
SRRM1P2,0,0,5,0
SRRM1P3,1,0,2,1
SRRM2,37274,10925,196186,14690
SRRM2-AS1,85,26,278,32
SRRM3,90,2,11775,1457
SRRM4,0,0,3,0
SRRM5,57,24,644,8
SRRT,9176,4240,20264,5303
SRSF1,13784,6947,25924,8522
SRSF10,10171,6238,22824,5094
SRSF10P1,2,0,26,4
SRSF11,19005,9029,56441,4244
SRSF12,16,11,193,56
SRSF1P1,0,0,0,0
SRSF2,9431,5436,17716,5453
SRSF3,18859,7612,25976,8640
SRSF4,6300,3014,15535,3068
SRSF5,12969,5996,42407,4425
SRSF6,11259,6631,93921,5671
SRSF7,8943,4380,18873,4602
SRSF8,4675,1704,16183,920
SRSF9,5417,1957,22706,2852
SRSF9P1,3,0,0,7
SRXN1,142,35,1627,389
SRY,0,0,0,0
SS18,9298,1883,11787,2890
SS18L1,1945,618,7046,925
SS18L2,669,247,2761,314
SS18L2P1,0,0,0,0
SS18L2P2,0,0,0,0
SSB,9673,3981,37973,4452
SSBP1,7228,3217,21260,2266
SSBP2,988,390,2742,410
SSBP3,979,343,4501,569
SSBP3-AS1,38,15,33,3
SSBP4,1294,1159,9001,1623
SSC4D,28,17,395,24
SSC5D,890,632,945,369
SSFA2,16815,7929,45639,12594
SSH1,46236,9827,40133,4344
SSH2,3633,2020,4704,1025
SSH3,1106,435,5177,487
SSMEM1,0,0,1,0
SSNA1,1850,812,7148,1272
SSPN,1057,246,183,92
SSPO,99,25,338,33
SSR1,24515,4774,35383,3846
SSR1P1,0,0,0,0
SSR1P2,0,0,2,0
SSR2,12474,4711,50110,5092
SSR3,13679,8794,73587,11107
SSR4,6878,3017,17976,2278
SSR4P1,359,167,392,82
SSRP1,15329,5964,30543,7005
SSSCA1,1059,320,2369,442
SSSCA1-AS1,63,50,386,20
SST,0,0,0,0
SSTR1,7,0,1,0
SSTR2,19,3,156,34
SSTR3,0,0,0,0
SSTR4,0,0,0,0
SSTR5,0,4,1,0
SSTR5-AS1,0,17,10,0
SSU72,2615,1102,21753,3030
SSU72P1,0,0,0,0
SSU72P6,0,0,0,0
SSU72P8,0,0,0,0
SSUH2,208,4,15084,10
SSX1,24,108,105,1
SSX2,0,0,5,0
SSX2B,2,10,0,0
SSX2IP,1717,711,1779,1636
SSX3,0,1,1,0
SSX4,0,0,0,0
SSX4B,0,0,0,0
SSX5,0,0,1,0
SSX6,3,0,8,0
SSX7,0,0,0,0
SSX8,0,0,0,0
SSX9,0,0,0,0
SSXP1,0,0,0,0
SSXP10,0,0,4,0
SSXP3,0,0,0,0
SSXP4,0,0,0,0
SSXP5,0,0,0,0
SSXP9,0,0,0,0
ST13,16585,6604,43342,8706
ST13P10,0,0,3,0
ST13P11,6,3,13,1
ST13P12,0,0,0,0
ST13P13,0,0,18,0
ST13P14,0,0,0,0
ST13P15,2,1,19,2
ST13P16,0,0,4,0
ST13P18,1,5,9,2
ST13P19,0,1,51,0
ST13P2,0,0,0,0
ST13P20,0,0,0,0
ST13P21,0,0,0,0
ST13P3,1,0,36,4
ST13P4,65,2,101,4
ST13P5,4,0,33,0
ST13P6,16,0,418,2
ST14,10,42,7,8
ST18,5,1,7,0
ST20,163,129,1521,82
ST20-AS1,241,130,1495,137
ST20-MTHFS,6,0,185,3
ST3GAL1,5699,1192,34177,3806
ST3GAL1P1,25,4,1,4
ST3GAL2,3575,803,9655,2220
ST3GAL3,1023,315,6491,252
ST3GAL4,25297,5673,10423,7803
ST3GAL5,5080,4852,4148,4701
ST3GAL5-AS1,67,72,10,26
ST3GAL6,1128,2785,1854,415
ST3GAL6-AS1,94,189,222,15
ST5,3919,1320,7813,2334
ST6GAL1,12033,6783,6765,2191
ST6GAL2,3,0,41,15
ST6GAL2-IT1,0,0,0,0
ST6GALNAC1,1,3,0,0
ST6GALNAC2,1460,1303,1831,415
ST6GALNAC2P1,0,0,0,0
ST6GALNAC3,390,920,0,1
ST6GALNAC4,53,197,1330,527
ST6GALNAC4P1,2,3,93,0
ST6GALNAC5,599,1,795,54
ST6GALNAC6,1231,358,25325,845
ST7,1628,1317,12480,725
ST7-AS1,73,28,355,38
ST7-AS2,4,0,4,1
ST7-OT4,15,35,195,5
ST7L,1589,485,4648,393
ST8SIA1,856,763,114,129
ST8SIA2,2018,0,5,97
ST8SIA3,2,0,1,0
ST8SIA4,1752,425,1392,30
ST8SIA5,75489,1566,2757,6519
ST8SIA6,12,88,42,3
ST8SIA6-AS1,2,8,17,0
STAB1,4,0,39,2
STAB2,16,11,1,5
STAC,499,0,11613,942
STAC2,250,16,88,1
STAC3,101,61,104,22
STAG1,3134,1269,10970,1592
STAG2,8934,4401,16367,3050
STAG3,801,184,1671,263
STAG3L1,933,174,1147,62
STAG3L2,1541,614,4717,376
STAG3L3,3503,751,8786,381
STAG3L4,1114,837,5728,426
STAG3L5P,1662,493,2543,330
STAG3L5P-PVRIG2P-PILRB,228,70,1808,97
STAM,1709,1194,6566,845
STAM-AS1,8,13,44,17
STAM2,2640,1096,18196,1291
STAMBP,3639,1316,18188,2333
STAMBPL1,1034,1020,12505,314
STAP1,0,1,0,0
STAP2,336,294,730,12
STAR,5,9,14,0
STARD10,179,128,6024,176
STARD13,6745,1709,26649,1429
STARD13-AS,115,38,8,15
STARD13-IT1,3,0,61,1
STARD3,2927,1028,11507,872
STARD3NL,6926,1164,19810,3011
STARD4,5533,868,10929,1317
STARD4-AS1,834,64,41,268
STARD5,91,16,341,42
STARD6,11,0,5,2
STARD7,11566,5484,22836,4791
STARD7-AS1,366,103,2476,160
STARD8,671,302,2026,45
STARD9,1887,776,5451,592
STARP1,0,0,0,0
STAT1,7050,3132,25154,3685
STAT2,5297,1419,13468,968
STAT3,7146,2581,32247,3273
STAT4,45,0,213,0
STAT5A,1409,1923,1227,42
STAT5B,2600,2039,16411,482
STAT6,12567,3597,20516,2604
STATH,1,0,0,0
STAU1,7003,3049,58351,5942
STAU2,1544,687,3567,1136
STAU2-AS1,2,0,24,0
STC1,333,4,6873,2486
STC2,87,93,27865,170
STEAP1,220,437,693,72
STEAP1B,3060,906,3641,988
STEAP2,126,21,5696,76
STEAP2-AS1,0,0,2,0
STEAP3,1058,836,12056,2604
STEAP3-AS1,4,0,65,30
STEAP4,14,8,57,2
STH,0,0,1,1
STIL,1975,1020,1185,1533
STIM1,2658,672,8676,2198
STIM2,4232,1560,4615,1660
STIMATE,245,86,426,155
STIP1,14203,4182,59969,11674
STIP1P3,1,0,0,1
STK10,22965,4573,31328,3253
STK11,2585,800,11710,1180
STK11IP,1397,543,4674,1094
STK16,1346,564,5031,794
STK17A,16662,1595,10007,5545
STK17B,1019,263,6782,2133
STK19,1081,358,7047,154
STK19B,14,8,9,0
STK24,3557,1299,41467,3006
STK24-AS1,3,4,30,8
STK24P1,0,0,1,0
STK25,4719,1432,20568,4829
STK25P1,0,0,0,0
STK26,1529,38,8471,745
STK3,2075,624,4463,1029
STK31,11,1,77,2
STK32A,100,1205,975,28
STK32B,13331,2272,20879,3924
STK32C,198,147,1706,341
STK33,16,0,206,0
STK33P1,0,0,0,0
STK35,1429,844,13151,1001
STK36,2827,906,6962,712
STK38,4544,602,9733,1198
STK38L,1255,337,7715,854
STK39,1870,1275,11835,2493
STK4,3417,1725,33891,1964
STK4-AS1,23,35,39,8
STK40,3267,1131,17756,1261
STKLD1,37,407,39,30
STMN1,18813,12469,5001,8696
STMN1P1,5,0,15,3
STMN1P2,0,0,0,0
STMN2,0,0,1,0
STMN3,2708,1330,16556,7249
STMN4,1,0,3,0
STMND1,2,0,25,0
STMP1,6467,2396,14421,1957
STN1,456,169,1025,585
STOM,6060,1266,12504,2141
STOML1,519,256,1353,260
STOML2,4997,2319,39460,3845
STOML3,0,0,0,0
STON1,781,294,4747,263
STON1-GTF2A1L,1,0,42,0
STON2,117,74,35,22
STOX1,3,29,45,14
STOX2,35,241,30,127
STPG1,541,372,2266,276
STPG2,4,0,7,1
STPG2-AS1,0,0,0,0
STPG3,24,7,11,19
STPG3-AS1,29,10,37,18
STPG4,14,4,18,7
STRA6,28732,1254,16046,3221
STRA8,1,0,3,0
STRADA,1192,517,1231,372
STRADB,1914,1830,3929,1252
STRADBP1,2,0,4,0
STRAP,9685,2077,35722,5627
STRBP,871,760,6108,455
STRC,1,0,181,0
STRCP1,0,0,16,0
STRIP1,3996,791,5316,868
STRIP2,2262,1689,5270,438
STRN,3912,2064,15076,2860
STRN3,2059,1003,8897,1171
STRN4,6531,2183,34998,3391
STS,1103,207,1333,439
STSP1,0,0,0,0
STT3A,16222,5872,23218,5127
STT3A-AS1,6,0,27,3
STT3B,12549,6150,18099,6817
STUB1,1944,560,13585,1780
STUM,33,0,70,0
STX10,1959,1161,6133,970
STX11,21,0,686,16
STX12,2967,1269,7766,743
STX16,6186,3430,33899,3519
STX16-NPEPL1,79,49,59,9
STX17,936,256,4018,391
STX17-AS1,4,19,46,1
STX18,1476,633,4005,591
STX18-AS1,96,7,112,15
STX18-IT1,2,0,8,0
STX19,2,0,29,0
STX1A,3186,223,11642,2059
STX1B,36,9,600,54
STX2,2684,950,3499,1404
STX3,2471,2883,7832,655
STX4,1746,557,3856,519
STX5,1904,508,17230,779
STX6,2842,780,18023,822
STX7,1631,4224,4652,710
STX8,3437,543,1968,782
STX8P1,0,0,0,0
STXBP1,4597,4634,42584,1643
STXBP2,32,18,491,3
STXBP3,6802,1408,8156,1153
STXBP4,1057,356,2392,218
STXBP5,4295,2102,11420,676
STXBP5-AS1,87,13,219,22
STXBP5L,1885,2,67,12
STXBP6,2820,1417,106,207
STYK1,54,1,145,27
STYX,2462,845,2768,782
STYXL1,1802,666,26234,878
SUB1,7216,2726,24788,4244
SUB1P1,3,0,1,1
SUB1P2,0,0,0,0
SUB1P3,0,0,0,1
SUB1P4,3,0,0,6
SUCLA2,2495,1374,5863,1026
SUCLA2-AS1,26,5,0,7
SUCLA2P1,0,7,0,0
SUCLA2P2,0,0,0,0
SUCLA2P3,0,0,0,0
SUCLG1,2929,2407,5714,1956
SUCLG2,3852,2515,4466,1057
SUCLG2-AS1,93,71,1148,83
SUCLG2P2,5,4,10,1
SUCLG2P4,0,0,203,0
SUCNR1,11,0,0,0
SUCO,5499,1502,13685,2775
SUDS3,3716,1529,8231,651
SUDS3P1,8,0,30,8
SUFU,679,309,1910,601
SUGCT,228,227,2139,89
SUGP1,1660,559,8086,976
SUGP2,6974,2344,16778,3273
SUGT1,2617,1526,9730,2071
SUGT1P2,2,0,72,1
SUGT1P3,14,9,145,11
SULF1,26107,62,119,16
SULF2,156,53,16228,5571
SULT1A1,12,169,80,4
SULT1A2,2,10,3,3
SULT1A3,99,43,436,9
SULT1A4,1,0,0,0
SULT1B1,405,175,817,0
SULT1C2,9,11,42,0
SULT1C2P1,1,0,0,0
SULT1C2P2,0,0,0,0
SULT1C3,0,0,0,0
SULT1C4,3,0,12,0
SULT1D1P,0,0,0,0
SULT1E1,0,0,0,4
SULT2A1,0,0,5,0
SULT2B1,1,5,16,0
SULT4A1,8,1,3358,128
SULT6B1,21,1,0,8
SUMF1,2649,1528,2311,597
SUMF2,18279,9991,26964,5009
SUMO1,7320,3018,23906,3073
SUMO1P1,0,0,0,0
SUMO1P2,0,0,0,0
SUMO1P3,37,0,34,2
SUMO1P4,0,0,5,0
SUMO2,12233,4706,11561,7150
SUMO2P1,0,0,4,9
SUMO2P10,0,0,0,0
SUMO2P12,0,0,0,0
SUMO2P13,0,0,0,1
SUMO2P14,4,0,0,0
SUMO2P15,1,0,0,0
SUMO2P16,0,0,0,0
SUMO2P17,23,3,14,26
SUMO2P18,0,0,0,0
SUMO2P19,5,13,3,0
SUMO2P2,0,0,0,0
SUMO2P20,0,0,0,1
SUMO2P3,0,0,0,1
SUMO2P4,0,0,0,1
SUMO2P5,0,0,0,0
SUMO2P6,0,0,0,0
SUMO2P7,0,0,0,0
SUMO2P8,0,0,0,0
SUMO3,6654,2090,7055,4820
SUMO4,6,0,84,6
SUN1,14308,5607,76384,7287
SUN2,9053,3787,28821,5975
SUN3,9,12,14,1
SUN5,0,0,0,0
SUOX,1385,427,1287,276
SUPT16H,11023,5754,36394,5903
SUPT20H,3847,1765,19043,1231
SUPT20HL1,0,0,0,0
SUPT20HL2,0,0,0,0
SUPT3H,347,285,1474,144
SUPT4H1,3388,1174,14566,1425
SUPT4H1P1,1,0,0,2
SUPT5H,7901,3333,61263,4291
SUPT6H,12207,3422,58067,5350
SUPT7L,3726,1529,17838,1522
SUPV3L1,862,657,8072,509
SURF1,1609,740,3673,375
SURF2,672,254,2413,290
SURF4,22248,6185,124541,14208
SURF6,3109,1037,12436,1151
SURF6P1,0,0,0,0
SUSD1,212,27,343,237
SUSD2,81,102,222,7
SUSD3,1,0,11,0
SUSD4,19,1,430,223
SUSD5,126,447,149,2007
SUSD6,1814,451,12413,419
SUV39H1,695,421,251,692
SUV39H2,641,587,2193,787
SUZ12,4175,1944,9693,1777
SUZ12P1,722,410,5080,245
SV2A,3047,1300,4065,482
SV2B,11,0,119,0
SV2C,87,0,22,4
SVBP,513,204,599,166
SVEP1,525,1,2656,34
SVIL,18533,9012,23480,6780
SVIL-AS1,2045,893,6676,1294
SVILP1,146,38,98,22
SVIP,3478,916,5964,574
SVOP,8,2,155,0
SVOPL,0,0,3,0
SWAP70,4449,4752,6181,2204
SWI5,1375,356,4127,286
SWSAP1,72,41,160,33
SWT1,178,106,2494,101
SYAP1,4595,1910,14964,2028
SYBU,254,2,3479,60
SYCE1,5,0,11,4
SYCE1L,20,6,23,7
SYCE2,110,30,102,52
SYCE3,0,0,3,1
SYCN,0,0,0,0
SYCP1,6,0,50,0
SYCP2,845,279,1811,1538
SYCP2L,123,143,8,1
SYCP3,28,28,162,8
SYDE1,3003,702,8407,2340
SYDE2,240,80,2296,67
SYF2,2587,986,18209,618
SYF2P1,0,0,0,0
SYF2P2,2,0,4,0
SYK,19,6,7,1
SYMPK,6667,2435,39466,2574
SYN1,67,3,898,216
SYN2,16,3,2,201
SYN3,356,166,697,45
SYNC,2403,161,2240,183
SYNCRIP,18631,7984,26857,7484
SYNDIG1,0,1,0,1
SYNDIG1L,0,0,13,0
SYNE1,2492,546,42178,758
SYNE1-AS1,0,0,13,1
SYNE2,8677,4306,3066,2882
SYNE3,20311,1951,6142,733
SYNE4,54,19,811,15
SYNGAP1,1964,533,11283,661
SYNGR1,1849,767,2185,352
SYNGR2,348,266,14885,1176
SYNGR3,54,21,1614,195
SYNGR4,1,0,0,1
SYNJ1,1452,520,11571,765
SYNJ2,2595,604,96081,2772
SYNJ2-IT1,2,0,33,0
SYNJ2BP,4331,1823,8625,993
SYNJ2BP-COX16,109,44,82,38
SYNM,39250,6487,5909,3246
SYNPO,1994,120,19147,941
SYNPO2,36,20,132,8
SYNPO2L,7,3,123,0
SYNPR,0,0,0,0
SYNPR-AS1,0,0,0,0
SYNRG,3453,1218,19071,951
SYP,186,78,2316,102
SYP-AS1,0,0,4,0
SYPL1,10474,4018,30065,5241
SYPL2,80,14,508,26
SYS1,1191,431,19817,592
SYS1-DBNDD2,6,2,31,1
SYT1,907,15,6446,3
SYT10,3,0,0,0
SYT11,2177,803,1245,1803
SYT12,97,9,291,12
SYT13,9,9,17,0
SYT14,1011,334,5431,231
SYT14P1,0,0,0,0
SYT15,70,5,417,4
SYT16,4,3,56,12
SYT17,9,1,92,26
SYT2,76,66,16,8
SYT3,15,0,74,24
SYT4,0,0,2,0
SYT5,18,21,694,23
SYT6,6812,697,272,20
SYT7,4,5,3792,9
SYT8,13,0,1,8
SYT9,22,11,0,0
SYTL1,27,38,301,16
SYTL2,4702,1992,3535,2685
SYTL3,42,3,166,33
SYTL4,1025,285,394,299
SYTL5,127,124,16890,4465
SYVN1,3225,854,21134,1424
SZRD1,10325,2877,28888,5047
SZT2,3561,1137,35456,1091
SZT2-AS1,17,0,263,5
TAAR1,0,0,1,0
TAAR2,0,0,0,0
TAAR3P,0,0,0,0
TAAR4P,0,0,0,0
TAAR5,0,0,0,0
TAAR6,0,0,1,0
TAAR7P,0,0,0,0
TAAR8,0,0,1,0
TAAR9,0,2,1,0
TAB1,1348,871,3887,633
TAB2,5424,1535,28108,1993
TAB3,2498,2382,8871,568
TAB3-AS1,0,0,0,0
TAB3-AS2,0,0,2,0
TAB3P1,0,0,0,0
TAC1,17,4,11363,0
TAC3,1,0,8,0
TAC4,4,5,2,4
TACC1,7998,3047,24408,3370
TACC1P1,0,0,0,0
TACC2,1595,672,10517,953
TACC3,3958,2001,2156,4515
TACO1,1096,377,3494,947
TACR1,10,0,5,6
TACR2,55,67,34,20
TACR3,0,0,1,0
TACSTD2,18,18,11,3
TADA1,619,310,1928,232
TADA2A,766,598,2612,596
TADA2B,1363,472,5552,497
TADA3,4210,1935,8959,3183
TAF1,3663,1852,8218,846
TAF10,2542,784,15391,2210
TAF11,3140,667,6472,588
TAF12,1373,465,8462,405
TAF13,7425,816,15678,798
TAF13P2,0,0,0,1
TAF15,9126,4448,17230,5078
TAF1A,638,262,4252,163
TAF1A-AS1,48,33,251,22
TAF1B,1288,767,2790,499
TAF1C,2882,1406,12456,861
TAF1D,6083,3997,26927,1833
TAF1L,0,0,8,1
TAF2,3157,822,19587,2272
TAF3,516,378,11859,872
TAF4,1342,665,8930,1272
TAF4B,641,519,5091,178
TAF5,285,131,2163,262
TAF5L,2825,934,6502,1076
TAF6,3617,1341,20849,2755
TAF6L,1057,342,855,362
TAF7,4428,1123,14430,2633
TAF7L,24,3,7,3
TAF8,1268,559,8903,377
TAF9,3083,750,3154,1297
TAF9B,2134,1007,4835,585
TAF9BP1,3,0,0,0
TAF9BP2,0,0,0,0
TAF9P1,0,0,0,0
TAF9P2,0,0,0,0
TAF9P3,1,0,3,1
TAGAP,5,1,3,1
TAGLN,220,155,1860,402
TAGLN2,17808,2618,56110,16528
TAGLN2P1,1,0,16,4
TAGLN3,4,1,6,2
TAL1,2,0,65,1
TAL2,11,0,23,2
TALDO1,11451,2943,12226,6269
TAMM41,469,194,1708,241
TANC1,15295,4455,28088,4580
TANC2,10025,1986,10999,2911
TANGO2,1359,772,8266,635
TANGO6,872,327,4773,403
TANK,2855,949,15242,987
TAOK1,11739,4019,31987,4419
TAOK2,5718,1222,15698,2762
TAOK3,6614,1737,7344,1165
TAP1,2353,329,13755,1075
TAP2,1608,292,8291,899
TAPBP,6354,1537,33733,4214
TAPBPL,581,210,849,166
TAPT1,1278,747,5879,401
TAPT1-AS1,92,44,218,42
TARBP1,4526,2579,3576,817
TARBP2,1717,678,1884,316
TARDBP,9312,3022,23392,3651
TARDBPP1,0,0,0,0
TARDBPP2,0,0,0,0
TARID,1,2,46,4
TARM1,0,0,16,0
TARS,8518,2574,38281,8019
TARS2,1411,639,6538,954
TARS2P1,0,0,0,0
TARSL2,1414,166,5070,568
TAS1R1,0,0,0,1
TAS1R2,0,0,0,0
TAS1R3,7,0,534,17
TAS2R1,1,0,0,0
TAS2R10,27,0,19,3
TAS2R13,7,3,28,0
TAS2R14,161,47,303,29
TAS2R15P,35,8,101,10
TAS2R16,0,0,0,0
TAS2R19,22,3,152,16
TAS2R20,64,19,175,18
TAS2R2P,0,0,0,0
TAS2R3,11,0,128,2
TAS2R30,10,0,85,2
TAS2R31,23,0,157,20
TAS2R38,1,15,16,0
TAS2R39,0,0,0,0
TAS2R4,50,9,487,3
TAS2R40,2,0,0,0
TAS2R41,0,0,0,0
TAS2R42,2,0,1,4
TAS2R43,6,0,3,0
TAS2R46,0,0,42,2
TAS2R5,44,13,595,6
TAS2R50,4,0,20,4
TAS2R60,0,0,0,0
TAS2R62P,0,0,0,0
TAS2R63P,8,0,29,1
TAS2R64P,4,0,38,0
TAS2R6P,18,0,211,1
TAS2R7,0,0,0,0
TAS2R8,0,0,0,0
TAS2R9,0,0,0,0
TASP1,655,337,1294,152
TAT,1,0,39,1
TAT-AS1,0,0,3,1
TATDN1,881,422,11801,706
TATDN1P1,0,0,32,2
TATDN2,1487,528,2887,732
TATDN2P1,0,0,0,0
TATDN2P2,380,153,25,174
TATDN2P3,1,0,56,0
TATDN3,477,284,2052,165
TAX1BP1,18235,8691,127234,6242
TAX1BP3,1503,256,6022,492
TAZ,1238,719,3109,523
TBATA,0,0,0,0
TBC1D1,4093,1386,9687,2292
TBC1D10A,1563,888,3199,548
TBC1D10B,2636,880,4480,1871
TBC1D10C,180,6,33,35
TBC1D12,416,300,5543,244
TBC1D13,2654,638,9670,748
TBC1D14,1749,2908,8143,714
TBC1D15,3315,1546,19236,738
TBC1D16,11008,8127,14844,3857
TBC1D17,1681,756,5949,676
TBC1D19,673,178,1424,228
TBC1D2,207,46,1242,53
TBC1D20,4214,2027,13271,1146
TBC1D21,0,0,0,0
TBC1D22A,925,549,6241,378
TBC1D22B,1226,123,6484,363
TBC1D23,3960,1307,19112,1057
TBC1D24,1257,318,2801,402
TBC1D25,798,345,2749,457
TBC1D26,3,0,22,0
TBC1D27P,1,1,14,0
TBC1D28,0,0,6,0
TBC1D29,2,5,13,0
TBC1D2B,2159,603,2935,1145
TBC1D3,0,0,0,1
TBC1D30,88,25,483,10
TBC1D31,1010,362,900,610
TBC1D32,633,174,767,115
TBC1D3B,119,32,628,0
TBC1D3C,0,0,3,0
TBC1D3D,0,0,4,0
TBC1D3E,2,0,4,0
TBC1D3F,0,0,2,1
TBC1D3G,0,0,2,0
